"Row"	"Column"	"Gene"	"Size"	"Media"	"Time.Point"	"Temp"	"Array"
1	1	"Ref"	108	"YPEG"	0	"37"	"1"
1	2	"Ref"	96	"YPEG"	0	"37"	"1"
1	3	"Ref"	88	"YPEG"	0	"37"	"1"
1	4	"Ref"	0	"YPEG"	0	"37"	"1"
1	5	"Ref"	83	"YPEG"	0	"37"	"1"
1	6	"Ref"	51	"YPEG"	0	"37"	"1"
1	7	"Ref"	70	"YPEG"	0	"37"	"1"
1	8	"Ref"	101	"YPEG"	0	"37"	"1"
1	9	"C1C1 rho c1e1 pr 2"	332	"YPEG"	0	"37"	"1"
1	10	"C1C1 rho c1e1 pr 2"	324	"YPEG"	0	"37"	"1"
1	11	"C1C1 rho c1e1 pr 2"	230	"YPEG"	0	"37"	"1"
1	12	"C1C1 rho c1e1 pr 2"	219	"YPEG"	0	"37"	"1"
1	13	"C1C1 rho c1e1 pr 2"	343	"YPEG"	0	"37"	"1"
1	14	"C1C1 rho c1e1 pr 2"	229	"YPEG"	0	"37"	"1"
1	15	"C1C1 rho c1e1 pr 2"	227	"YPEG"	0	"37"	"1"
1	16	"C1C1 rho c1e1 pr 2"	185	"YPEG"	0	"37"	"1"
1	17	"C1C1 rho c1e1 pr 3"	251	"YPEG"	0	"37"	"1"
1	18	"C1C1 rho c1e1 pr 3"	225	"YPEG"	0	"37"	"1"
1	19	"C1C1 rho c1e1 pr 3"	208	"YPEG"	0	"37"	"1"
1	20	"C1C1 rho c1e1 pr 3"	211	"YPEG"	0	"37"	"1"
1	21	"C1C1 rho c1e1 pr 3"	303	"YPEG"	0	"37"	"1"
1	22	"C1C1 rho c1e1 pr 3"	272	"YPEG"	0	"37"	"1"
1	23	"C1C1 rho c1e1 pr 3"	289	"YPEG"	0	"37"	"1"
1	24	"C1C1 rho c1e1 pr 3"	302	"YPEG"	0	"37"	"1"
1	25	"C1C1 rho c1e1 pr 4"	344	"YPEG"	0	"37"	"1"
1	26	"C1C1 rho c1e1 pr 4"	284	"YPEG"	0	"37"	"1"
1	27	"C1C1 rho c1e1 pr 4"	262	"YPEG"	0	"37"	"1"
1	28	"C1C1 rho c1e1 pr 4"	254	"YPEG"	0	"37"	"1"
1	29	"C1C1 rho c1e1 pr 4"	288	"YPEG"	0	"37"	"1"
1	30	"C1C1 rho c1e1 pr 4"	209	"YPEG"	0	"37"	"1"
1	31	"C1C1 rho c1e1 pr 4"	198	"YPEG"	0	"37"	"1"
1	32	"C1C1 rho c1e1 pr 4"	207	"YPEG"	0	"37"	"1"
1	33	"C1C1 rho c1e1 pr 5"	168	"YPEG"	0	"37"	"1"
1	34	"C1C1 rho c1e1 pr 5"	177	"YPEG"	0	"37"	"1"
