"Row"	"Column"	"Gene"
1	1	"Ref"
1	2	"Ref"
1	3	"Ref"
1	4	"Ref"
1	5	"Ref"
1	6	"Ref"
1	7	"Ref"
1	8	"Ref"
1	9	"C1C1 rho c1e1 pr 2"
1	10	"C1C1 rho c1e1 pr 2"
1	11	"C1C1 rho c1e1 pr 2"
1	12	"C1C1 rho c1e1 pr 2"
1	13	"C1C1 rho c1e1 pr 2"
1	14	"C1C1 rho c1e1 pr 2"
1	15	"C1C1 rho c1e1 pr 2"
1	16	"C1C1 rho c1e1 pr 2"
1	17	"C1C1 rho c1e1 pr 3"
1	18	"C1C1 rho c1e1 pr 3"
1	19	"C1C1 rho c1e1 pr 3"
1	20	"C1C1 rho c1e1 pr 3"
1	21	"C1C1 rho c1e1 pr 3"
1	22	"C1C1 rho c1e1 pr 3"
1	23	"C1C1 rho c1e1 pr 3"
1	24	"C1C1 rho c1e1 pr 3"
1	25	"C1C1 rho c1e1 pr 4"
1	26	"C1C1 rho c1e1 pr 4"
1	27	"C1C1 rho c1e1 pr 4"
1	28	"C1C1 rho c1e1 pr 4"
1	29	"C1C1 rho c1e1 pr 4"
1	30	"C1C1 rho c1e1 pr 4"
1	31	"C1C1 rho c1e1 pr 4"
1	32	"C1C1 rho c1e1 pr 4"
1	33	"C1C1 rho c1e1 pr 5"
1	34	"C1C1 rho c1e1 pr 5"
1	35	"C1C1 rho c1e1 pr 5"
1	36	"C1C1 rho c1e1 pr 5"
1	37	"C1C1 rho c1e1 pr 5"
1	38	"C1C1 rho c1e1 pr 5"
1	39	"C1C1 rho c1e1 pr 5"
1	40	"C1C1 rho c1e1 pr 5"
1	41	"C1C1 rho c1e1 pr 6"
1	42	"C1C1 rho c1e1 pr 6"
1	43	"C1C1 rho c1e1 pr 6"
1	44	"C1C1 rho c1e1 pr 6"
1	45	"C1C1 rho c1e1 pr 6"
1	46	"C1C1 rho c1e1 pr 6"
1	47	"C1C1 rho c1e1 pr 6"
1	48	"C1C1 rho c1e1 pr 6"
2	1	"Ref"
2	2	"Ref"
2	3	"Ref"
2	4	"Ref"
2	5	"Ref"
2	6	"Ref"
2	7	"Ref"
2	8	"Ref"
2	9	"C1C1 rho c1e1 pr 2"
2	10	"C1C1 rho c1e1 pr 2"
2	11	"C1C1 rho c1e1 pr 2"
2	12	"C1C1 rho c1e1 pr 2"
2	13	"C1C1 rho c1e1 pr 2"
2	14	"C1C1 rho c1e1 pr 2"
