"Row"	"Column"	"Gene"	"Media"	"Temp"	"Array"	"Condition"	"Well"	"CC"	"R"	"MinSize"	"Corr"
3	3	"Ref"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c3"	1288.5568606281	0.065075557005131	176.540715099429	0.99837526120003
3	4	"Ref"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c4"	1303.81965749	0.0664266481899694	184.075186692671	0.998049773131562
3	5	"Ref"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c5"	1279.71584526726	0.0659923369786937	186.723318553028	0.998274021412733
3	6	"Ref"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c6"	1213.23873985875	0.066303376153456	177.431762058894	0.998228974191275
3	7	"Ref"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c7"	1194.95714138458	0.0686861596615387	171.185134329977	0.998325238277318
3	10	"C1C1 rho c1e1 pr 2"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c10"	3056.36013313551	0.048805331661473	421.155547035422	0.997477674465256
3	11	"C1C1 rho c1e1 pr 2"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c11"	2724.28002722076	0.0493709280779925	337.046461407708	0.997772435082895
3	12	"C1C1 rho c1e1 pr 2"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c12"	2667.5035015431	0.0505400196062347	337.354971426713	0.997819054978913
3	13	"C1C1 rho c1e1 pr 2"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c13"	2687.95385608467	0.0505992137814738	349.961996097568	0.998020913948076
3	14	"C1C1 rho c1e1 pr 2"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c14"	2590.44881809981	0.0515431596361531	325.629939240605	0.998075037803426
3	15	"C1C1 rho c1e1 pr 2"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c15"	2679.19001757454	0.0518487262819969	346.259196503238	0.997868145259952
3	18	"C1C1 rho c1e1 pr 3"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c18"	2591.95666427636	0.0510046456226319	325.655007726274	0.997959766071284
3	19	"C1C1 rho c1e1 pr 3"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c19"	2580.90257839655	0.0511624059178103	321.550663793752	0.99796518197127
3	20	"C1C1 rho c1e1 pr 3"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c20"	2604.22704019183	0.051376191717064	325.274199637265	0.998139582496673
3	21	"C1C1 rho c1e1 pr 3"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c21"	2557.66504311423	0.0512823129038018	314.893124545601	0.998054715510971
3	22	"C1C1 rho c1e1 pr 3"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c22"	2567.14870480999	0.0513846450038103	314.08324134226	0.998078940392077
3	23	"C1C1 rho c1e1 pr 3"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c23"	2632.65541484478	0.0510432290144507	328.826503334026	0.997975643956938
3	26	"C1C1 rho c1e1 pr 4"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c26"	1865.78322375202	0.0601761357741193	333.039527357528	0.996007536197231
3	27	"C1C1 rho c1e1 pr 4"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c27"	1855.21678791746	0.0600234713625497	332.19030138938	0.996257802217239
3	28	"C1C1 rho c1e1 pr 4"	"YPEG"	"37"	"1"	"YPEG_37"	"r3c28"	1858.48850196156	0.0596294922716875	338.245745515647	0.996375334161201
