"Row"	"Column"	"Gene"	"Size"	"Media"	"Time.Point"	"Temp"	"Array"	"Condition"	"Well"
3	3	"Ref"	132	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c3"
3	4	"Ref"	133	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c4"
3	5	"Ref"	141	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c5"
3	6	"Ref"	133	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c6"
3	7	"Ref"	130	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c7"
3	10	"C1C1 rho c1e1 pr 2"	236	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c10"
3	11	"C1C1 rho c1e1 pr 2"	197	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c11"
3	12	"C1C1 rho c1e1 pr 2"	201	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c12"
3	13	"C1C1 rho c1e1 pr 2"	212	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c13"
3	14	"C1C1 rho c1e1 pr 2"	196	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c14"
3	15	"C1C1 rho c1e1 pr 2"	204	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c15"
3	18	"C1C1 rho c1e1 pr 3"	198	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c18"
3	19	"C1C1 rho c1e1 pr 3"	198	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c19"
3	20	"C1C1 rho c1e1 pr 3"	196	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c20"
3	21	"C1C1 rho c1e1 pr 3"	192	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c21"
3	22	"C1C1 rho c1e1 pr 3"	185	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c22"
3	23	"C1C1 rho c1e1 pr 3"	199	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c23"
3	26	"C1C1 rho c1e1 pr 4"	222	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c26"
3	27	"C1C1 rho c1e1 pr 4"	227	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c27"
3	28	"C1C1 rho c1e1 pr 4"	230	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c28"
3	29	"C1C1 rho c1e1 pr 4"	219	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c29"
3	30	"C1C1 rho c1e1 pr 4"	216	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c30"
3	31	"C1C1 rho c1e1 pr 4"	231	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c31"
3	34	"C1C1 rho c1e1 pr 5"	230	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c34"
3	35	"C1C1 rho c1e1 pr 5"	239	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c35"
3	36	"C1C1 rho c1e1 pr 5"	239	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c36"
3	37	"C1C1 rho c1e1 pr 5"	231	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c37"
3	38	"C1C1 rho c1e1 pr 5"	223	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c38"
3	39	"C1C1 rho c1e1 pr 5"	229	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c39"
3	42	"C1C1 rho c1e1 pr 6"	248	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c42"
3	43	"C1C1 rho c1e1 pr 6"	253	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c43"
3	44	"C1C1 rho c1e1 pr 6"	238	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c44"
3	45	"C1C1 rho c1e1 pr 6"	220	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c45"
3	46	"C1C1 rho c1e1 pr 6"	229	"YPEG"	0	"37"	"1"	"YPEG_37"	"r3c46"
6	3	"C1C1 rho c1e1 pr13"	219	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c3"
6	4	"C1C1 rho c1e1 pr13"	261	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c4"
6	5	"C1C1 rho c1e1 pr13"	212	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c5"
6	6	"C1C1 rho c1e1 pr13"	229	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c6"
6	7	"C1C1 rho c1e1 pr13"	237	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c7"
6	10	"C1C1 rho c1e1 pr14"	234	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c10"
6	11	"C1C1 rho c1e1 pr14"	219	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c11"
6	12	"C1C1 rho c1e1 pr14"	239	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c12"
6	13	"C1C1 rho c1e1 pr14"	239	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c13"
6	14	"C1C1 rho c1e1 pr14"	231	"YPEG"	0	"37"	"1"	"YPEG_37"	"r6c14"
